Lfd Nr;Tatzeit;Tatort;Sachverhalt;TV;Phänomenbereic h;Zähldelikt §;Bezeichnung;Betroffene Partei
223;02.03.2021;Baden-Baden;"Nachdem auf der Facebook Seite der Partei ""AfD"" ein Brief eines Unternehmens an seine Mitarbeiterinnen veröffentlicht wurde entfacht eine Diskussion über die Kandidatur des dunkelhäutigen GS zur Kommunalwahl. So schreibt der BS ""...denn diese Partei hat es doch tatsächlich geschafft, einen original Schwarzwälder zu nominieren. Bei allem Mitleid mit der Partei, doch von so einem Dahergelaufenen würde ich mir noch nicht einmal das Feuer für meine Corona-Zigarre geben lassen. Dabei ziehe ich ernsthaft in Erwägung das Land zu verlassen, wenn solche Individuen aus der sozialen Flängematte entsprungen künftig meine verbrieften Rechte in Stuttgart mitgestalten sollen. Oder wenn dieser Kerl unbedingt gerne Politik machen will, dann soll er gefälligst dorthin zurückgehen, von wo er entlaufen war"". Ein zweiter BS schreibt ""Meine Vermutung ist, dass es keine anderen freiwilligen Kandidaten in diesem Wahlkreis gibt. Auf jeden Fall sollte dadurch jedem Patrioten und jeder Patriotin klar sein wofür die Partei steht und wer deren Zielgruppe ist. Der Deutsche Michel ist es jedenfalls schon lange nicht mehr"".";2;Rechts;§185 StGB;Beleidigung;AfD
224;12.03.2021;Karlsruhe ;"Der UT beschädigte einen Wahlplakate Aufsteller der Partei ""AfD"", in dem er diesen mit dem Fuß an einem Infostand eintrat. Im Anschluss zeigte er noch den Mittelfinger gegenüber den Parteimitgliedern und verließ anschließend die Örtlichkeit.";0;Links;§303 StGB;Sachbeschädigung;AfD
225;08.02.2021;Baden-Baden;"Bekannter Vielschreiber versendet wiederholt E-Mails mit Flakenkreuzen an eine Vielzahl von Empfängern. Zudem beleidigt und bedroht er erneut die Oberbürgermeisterin der Stadt Baden-Baden und ruft bereits im Betreffzu ihrer Ermordung auf. Originaltextauszug: ""Mit vollem Ernst, da kann ich Sie versichern, fordere ich hiermit ein öffentliches Spektakel ritueller Gewalt! Ich fordere die revolutionäre Ermordung von A.K., A.M. und M. M. wegen scheinheiliger Verhetzung des Deutschen Volkes!""";1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
226;09.02.2021;Baden-Baden;"Bekannter Vielschreiber versendet wiederholt E-Mails mit Flakenkreuzen an eine Vielzahl von Empfängern. Zudem beleidigt und bedroht er erneut die Oberbürgermeisterin der Stadt Baden-Baden und ruft bereits im Betreffzu ihrer Ermordung auf. Originaltextauszug: ""Ich bekämpfe Menschenrechtsverletzungen mit Mordaufrufen."" und ""Man sollte körperliche Gewalt gegen Menschenrechtsverletzer und ihre Komplizinnen (A.K., A.M., M.M.) anwenden.""";1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
227;10.02.2021;Baden-Baden;"Bekannter Vielschreiber versendet wiederholt E-Mails mit Flakenkreuzen an eine Vielzahl von Empfängern. Zudem beleidigt und bedroht er erneut die Oberbürgermeisterin der Stadt Baden-Baden und ruft bereits im Betreffzu ihrer Ermordung auf. Originaltextauszug: ""Ich bekämpfe Menschenrechtsverletzungen mit Mordaufrufen."" und ""Man sollte körperliche Gewalt gegen Menschenrechtsverletzer und ihre Komplizinnen (A.K., A.M., M.M.) anwenden.""";1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
228;12.02.2021;Baden-Baden;"Bekannter Vielschreiber versendet wiederholt E-Mails mit Hakenkreuzen an eine Vielzahl von Empfängern. Zudem beleidigt und bedroht er erneut die Oberbürgermeisterin der Stadt Baden-Baden und ruft bereits im Betreffzu ihrer Ermordung auf. Originaltextauszug: ""Immer wenn man schreibt: ""Mordet die Faschistenfotzen A.K., M.M., A.M. und J.S.I"", dann sind die Faschistenfotzen entweder beleidigt und/oder fühlen sich bedroht."" und ""Die Faschistenfotzen haben Menschenrecht, Völkerrecht, EURecht, deutsches Verfassungsrecht und einfaches Bundesrecht gebrochen."" u.v.m.";1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
229;13.02.2021;Baden-Baden;Bekannter Vielschreiber versendet wiederholt E-Mails mit Hakenkreuzen an eine Vielzahl von Empfängern. Zudem beleidigt und bedroht er erneut die Oberbürgermeisterin der Stadt Baden-Baden und ruft bereits im Betreffzu ihrer Ermordung auf.;1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
230;15.02.2021;Baden-Baden;"Bekannter Vielschreiber versendet wiederholt E-Mails mit Hakenkreuzen an eine Vielzahl von Empfängern. Zudem beleidigt und bedroht er erneut die Oberbürgermeisterin der Stadt Baden-Baden und ruft bereits im Betreffzu ihrer Ermordung auf. Originaltextauszug:"" Jetzt muss ich die Faschistenfotzen K., M.M., A.M. und J.S. umbringen.""";1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
231;27.03.2021;Baden-Baden;Bekannter Vielschreiber F.C. verschickt wiederholt E-Mails mit Kennzeichen verfassungswidriger Organisationen (hier in Form von Hakenkreuzen) an eine Vielzahl von Empfängern, u.a. an die E-Mail-Adresse leserbrief@juedische-allgemeine.de.;1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
232;01.02.2021;Baden-Baden ;Bekannter Vielschreiber F.G versendet wiederholt E-Mails mit Kennzeichen verfassungswidriger Organisationen (hier zu meist in Form von Hakenkreuzen) an eine Vielzahl von Empfänger. In der E-Mail vom 01.02.2021 beleidigt und bedroht er erneut die Oberbürgermeisterin der Stadt;1;Rechts;§86A StGB ;Verwenden von Kennzeichen verfassungswidriger Organisationen ;CDU
233;17.03.2021;Empfingen;"Der Bürgermeister erhielt auf postalischem Wege einen Hass-Brief. Darin wird er u.a. als Kommunist bezeichnet und mit ""Stinkefinger""-Symbolen, sowie Totenköpfen und den Worten ""Hau ab!"" beleidigt. Die Totenköpfe sehen ähnlich aus wie jene, die auf giftigen Substanzen abgedruckt sind. Ihm wird mehrfach nahegelegt von seinem Amt zurückzutreten. Seine ganze Partei die CDU wird als Kommunisten-Partei bezeichnet. Weitere Bürgermeister werden ebenfalls namentlich erwähnt. Zudem wird die Bundeskanzlerin als „Votzin"" („Fotzin"") beleidigt. Der Brief setzt sich aus handschriftlichen Teilen, sowie ausgedruckten Teilen zusammen, teils auch Karikaturen, die dann handschriftlich kommentiert wurden.";0;Rechts;§185 StGB;Beleidigung;CDU
234;08.03.2021;Vörstetten;"Der BS bedrohte die GS (Kandidatin der Partei SPD) auf der Facebook Seite des Kreisverbandes mit den Worten ""Wir Rotten euch aus keine Angst,,,ihr bekommt noch was ihr Verdient......"" (Schreibweise übernommen).";1;Nicht zuzuordnen;§241 StGB;Bedrohung;SPD
235;08.03.2021;Asperg;"Der UT beschmierte ein Wahlplakat des Kandidaten der Partei ""SPD"" mit einem Hakenkreuz und ritzte mit einem unbekannten Gegenstand einen ""Hitlerbart"" ein.";0;Nicht zuzuordnen;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;SPD
236;13.03.2021;Zell;"Die GS waren Wahlkampfhelfer der AfD und Betreiber eines Wahlinfostandes. In diesem Zusammenhang hat der
BS die GS als Nazi beleidigt und einen Wahlkampfflyer zerrissen. Weiterhin hat der BS dem GS mit dem
Ellenbogen gegen den Brustkorb gestoßen. Anschließend soll der BS den GS mit der flachen Hand von sich gestoßen und ihm mit der Faust einen Boxstoß auf die Brust verpasst haben.";1;Nicht zuzuordnen;§223 StGB ;Körperverletzung ;AfD
237;23.03.2021;Baden-Baden;"Der bekannte Vielschreiber versendet wiederholt E-Mails mit Kennzeichen verfassungswidriger Organisationen an eine Vielzahl von Empfängern (hier in Form von Hakenkreuzen). In dieser E-Mail fordert er insgesamt fünf Mal zur Ermordung von u.a. der Oberbürgermeisterin (CDU) auf. Originaltextauszug: ""Ich fordere die sofortige Tötung... (Namen bekannt) der Baden-Badener Oberbürgermeisterin, die noch keinen Personenschutz hat.""";1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
238;15.03.2021;Baden-Baden;"BS versendet wiederholt E-Mails mit Kenneichen verfassungswidriger Organisationen (hier in Form von Hakenkreuzen) an eine Vielzahl von Empfängern. Seine E-Mail ist frauenfeindlich und rassistisch. (Originaltextauszug: ""Männer können Frauen, Negern und Nazis immer einfach eins auf die Fresse geben."") Im Betreff erwähnt er den Sterbefall der Oberbürgermeisterin der Stadt Baden-Baden. Auf Grund der zahlreichen E-Mails, u.a. mit Mordaufforderungen zum Nachteil der Oberbürgermeisterin kann man auch diese E-Mailals Bedrohung und Beleidigung ansehen.";1;Rechts;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;CDU
239;13.03.2021;Baden-Baden;"Der BS versendet wiederholt E-Mails mit Kennzeichen mit Hakenkreuze an eine Vielzahl von Empfängern. Er fordert den Tod von u.a. der Oberbürgermeisterin der Stadt Baden-Baden, Originaltextauszug: ""C.E. u. M.M. biologischen Tod fordere ich, nicht nur den politischen I"" Zudem beleidigt er Frau M. als ""schweinisches Tier"" und korrupt";1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
240;31.03.2021;Baden-Baden;Der bekannte BS versendet wiederholt E-Mails mit Kennzeichen verfassungswidriger Organisationen (Hakenkreuze) überregional an eine Vielzahl von Empfängern. Des Weiteren beleidigt und bedroht er u.a. die Oberbürgermeisterin der Stadt Baden-Baden;1;Rechts;§111 StGB;Öffentliche Aufforderung zu Straftaten;CDU
241;12.03.2021;Inzigkofen;"UT brachte an einem Wahlplakat der Partei „Bündnis 90 / Die Grünen"" mit der Abbildung des amtierenden Ministerpräsidenten die Schriftzüge „Kinderschänder"" und „SS"" an. Außerdem wurde der Slogan „Sie kennen mich"" in die Formulierung „Sie können mich am Arsch lecken"" abgeändert.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
242;03.03.2021;Steinenbronn;UT besprüht ein Wahlplakat der FDP, indem das Foto des Kandidaten, sein Name, der Name der Partei und der Wahlspruch mit übersprüht und somit unkenntlich gemacht werden.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;FDP
243;03.03.2021;Steinenbronn;UT besprüht drei Wahlplakate wodurch sie unkenntlich gemacht werden. Ein Plakat der FDP, der Freien Wähler und des parteilosen F.N..;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Sonstige Partei, FDP
244;11.03.2021;Reutlingen;Durch UT wurde das Wohnhaus des Landtagkandidaten der AfD für die Walkreise Reutlingen und Tübingen mit Eiern beworfen.;0;Links;§303 StGB;Sachbeschädigung;AfD
245;13.03.2021;Pfullingen;"Der BS postete auf seinem Facebook-Account für jedermann einsehbar folgenden volksverhetzenden Beitrag: ""Der nächste Asylant den ich treffe nach den Aussagen der grünen dich ich gelesen habe hat ein schweres los wenn Grüne behaupten dass es normal ist wenn Ausländer Frauen vergewaltigen und sie töten weil es bei ihnen normal ist gehören alle grünen genauso wie Asylanten wie beim Adolf in die Gaskammer mein Motto nämlich immer noch Deutschland den deutschen"".";1;Rechts;§130 StGB;Volksverhetzung;Bündnis 90/Die Grünen
246;12.03.2021;Reutlingen;Die BS und 2 UT brachten in der Wilhelmstraße in Reutlingen, Plakate an. Inhalt der Plakate ist eine Aufforderung die AFD am nicht zu wählen, außerdem ist eine Beleidigung zum Nachteil des Flerrn R. (AFD Landtagskandidat) darauf wahrzunehmen.;1;Links;§185 StGB;Beleidigung;AfD
247;26.02.2021;Oberkirch;"Der BS beleidigte mehrmals den GS (Kandidat der SPD für den Wahlkreis Kehl) telefonisch. U. a. gab der BS Äußerungen wie: ""Ihr könnt andere Leute verarschen. Steckt Euch die Masken in den Arsch. Lasst die Finger weg von unseren Kindern, Ihr Kommunistenschweine usw. von sich. cov#19";1;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD
248;09.03.2021;Ellwangen;Der GS wurde beim Plakatieren von Wahlplakaten der AfD von einem unbekannten Täter als Hurensohn und Bastard beleidigt. Zudem wurde im angegebenen Tatzeitraum ein Wahlplakat der AfD durch herunterreißen zerstört.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;AfD
249;27.01.2021;Bamberg;UT besprühte das Fenster des Abgeordnetenbüros der GS (Mitglied des Landtages in Bayern vom Bündnis 90 Die Grünen) mit einem Anarchie-Zeichen.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
250;30.01.2021;Neuburg;"Im Rahmen einer angezeigten Versammlung unter dem Motto ""Sofortige Beendigung des Lockdowns und Erhalt des Gewerbes"" trat der BES als Redner auf. Im Rahmen seines Redebeitrages bezeichnete er die bayerischen Parteien als ""Steigbügelhalter der CSU"". Weiter wurde der Bayer. Wirtschaftsminister A. mit den Worten ""...der A..., der Narr"" öffentlich beleidigt. cov#19";1;Nicht zuzuordnen;§185 StGB;Beleidigung;CSU
251;24.01.2021;Augsburg;Der BES ist Stadtrat in Augsburg und stellv. Vorsitzender der Freien Wähler Augsburg Stadt. Gegen ihn sind bei der StA Augsburg bereits mehrere Ermittlungsverfahren wg. Verleumdung, Übler Nachrede, usw. anhängig (BY7106022688-19/4 u. a.). Innerhalb der Partei und auch darüber hinaus verbreitet er aktuell die Unwahrheit, dass der GES M. in Zusammenarbeit mit dem GES W. den Vorstand der FW Augsburg Stadt angezeigt hätte. Richtig ist, dass der GES M. den BES wg. Versuchter Erpressung angezeigt hat (BY7015-001016-20/4). In diesem Zusammenhang schloss der BES die beiden GES aus der WhatsApp-Gruppe der FW aus und schnitt diese somit vom parteiinternen Infostrang ab. Der GES W. ist, neben seiner Tätigkeit in der Partei, Versicherungsmakler und befürchtet aufgrund der Lüge des BES zudem Nachteile für sich und sein Geschäft.;1;Nicht zuzuordnen;§187 StGB;Verleumdung;Sonstige Partei
252;30.01.2021;Rehau;"An der Windschutzscheibe des Pkw des GS (Vorstand der AfD Hochfranken) wurde ein Zettel mit dem Text: ""Fresse halten auf Facebook du dummes AfD Nazi Schwein"" angebracht.";0;Links;§185 StGB;Beleidigung;AfD
253;08.02.2021;Ansbach;Durch den BS werden SPD-Mitglieder als Hurensöhne/Hurentöchter beleidigt, weiterhin droht der B. mit Schlägen gegen unbestimmte Personen der SPD. Hintergrund ist die Unzufriedenheit des Verfassers mit den Zuständen in Ansbach, Wohnungsnot, Existenz als Zeitarbeiter etc.;1;Nicht zuzuordnen;§241 StGB;Bedrohung;SPD
254;11.02.2021;Vilshofen;"Auf der Internetseite ""Frankfurter Erklärung"" schrieb der BS einen Kommentar über den GS. Dort wurde der GS mit dem strafrechtlich relevanten Kommentar ""Der GRÜNE
MdL (Name des GS) betätigt sich als Nazi-Blockwart""
beleidigt Laut Meldung LKA vom 02.03.2021: Angriffsziel hinzugefügt";;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
255;10.02.2021;Nürnberg;"Im Parteibüro der Partei ""Die Linke"" Nürnberg ging am 10.02.21 postalisch ein maschinell erstelltes Schreiben ein. Nach der Anrede (""Sehr geehrte Vollidioten"") gab der Verfasser an, dass er es sehr schätzen würde, wenn der Jamnitzer Platz zu einer Gaskammer umfunktioniert werden würde. Zudem wird eine Sachbeschädigung (mittels Farbe) am Bürogebäude der Partei angedroht. Ebenso wurde der GS (Stadtrat für die o.g. Partei) als ""Gesocks"" bezeichnet.";0;Rechts;§185 StGB;Beleidigung;Die Linke
256;22.02.2021;Hergatz;"Der UBT beschmiert die Hauswand und Haustüre des GES mittels schwarzer Farbe mit einer Art geschwungenen Anker sowie mit den Worten ""FCK AFD"". Am Gartenzaun befinden sich ebenfalls Sprühlinien, ""FCK AFD"" und die Worte ""SAU"". GES ist Kreisrat der AFD und damit politisch tätig.";0;Links;§303 StGB;Sachbeschädigung;AfD
257;07.01.2021;Nürnberg;"Die GS (Landtagsabgeordnete Bündnis 90/Die Grünen) erstattete im Rahmen einer Prüfbitte Anzeige wegen Beleidigung. In der privaten Facebook-Gruppe ""Gemeinsam für die Heimat"" wurde ein Foto geteilt, das neben der GS, auch die übrigen vier GS zeigte. Überschrift: Das sind die Grünen im bayerischen Landtag...und nein: Das ist KEIN Scherz..."". Der UT kommentierte in der o.g. Facebook Gruppe das Bild mit: ""Ich habe noch nie so ein Haufen an Dummheit gesehen"". Laut Meldung LKA vom 18.03.2021: Themenfeld hinzugefügt.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
258;06.01.2021;Nürnberg;"Die GS (Landtagsabgeordnete Bündnis 90/Die Grünen) erstattete im Rahmen einer Prüfbitte Anzeige wegen Beleidigung. In der privaten Facebook-Gruppe ""Gemeinsam für die Heimat"" wurde ein Foto geteilt, das neben der GS, auch die übrigen vier GS zeigte. Überschrift: Das sind die Grünen im bayerischen Landtag...und nein: Das ist KEIN Scherz..."". Der UT kommentierte in der o.g. Facebook Gruppe das Bild mit:""...die haben keine Geburtsurkunde, sondern ein Entschuldigungsschreiben von der Kondomfabrik!""";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
259;06.01.2021;Nürnberg;"Die GS (Landtagsabgeordnete Bündnis 90/Die Grünen) erstattete im Rahmen einer Prüfbitte Anzeige wegen Beleidigung. In der privaten Facebook-Gruppe ""Gemeinsam für die Heimat"" wurde ein Foto geteilt, das neben der GS, auch die übrigen vier GS zeigte. Überschrift: Das sind die Grünen im bayerischen Landtag...und nein: Das ist KEIN Scherz..."". Der UT kommentierte in der o.g. Facebook Gruppe das Bild mit: ""Genauso hab ich mir die vorgestellt *Emoi**Emoi*. Das sind die wahren Corona Mutationen.."" cov#19";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
260;06.01.2021;Nürnberg;"Die GS (Landtagsabgeordnete Bündnis 90/Die Grünen) erstattete im Rahmen einer Prüfbitte Anzeige wegen Beleidigung. In der privaten Facebook-Gruppe ""Gemeinsam für die Heimat"" wurde ein Foto geteilt, das neben der GS, auch die übrigen vier GS zeigte. Überschrift: Das sind die Grünen im bayerischen Landtag...und nein: Das ist KEIN Scherz..."". Der UT kommentierte in der o.g. Facebook Gruppe das Bild mit: ""Da hätten die Eltern lieber aufpassen sollen und sich ein Gummi überziehen""";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
261;06.01.2021;Nürnberg;"Die GS (Landtagsabgeordnete Bündnis 90/Die Grünen) erstattete im Rahmen einer Prüfbitte Anzeige wegen Beleidigung. In der privaten Facebook-Gruppe ""Gemeinsam für die Heimat"" wurde ein Foto geteilt, das neben der GS, auch die übrigen vier GS zeigte. Überschrift: Das sind die Grünen im bayerischen Landtag...und nein: Das ist KEIN Scherz..."". Der UT kommentierte in der o.g. Facebook Gruppe das Bild mit: ""Ihre Eltern hätten es bei ein bißchen ""rumfummeln"" belassen sollen.""";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
262;06.01.2021;Nürnberg;"Die GS (Landtagsabgeordnete Bündnis 90/Die Grünen) erstattete im Rahmen einer Prüfbitte Anzeige wegen Beleidigung. In der privaten Facebook-Gruppe ""Gemeinsam für die Heimat"" wurde ein Foto geteilt, das neben der GS, auch die übrigen vier GS zeigte. Überschrift: Das sind die Grünen im bayerischen Landtag...und nein: Das ist KEIN Scherz..."". Der UT kommentierte in der o.g. Facebook Gruppe das Bild mit: ""Wo sind die entsprungen. Das grauen hat viele Gesichter"".";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
263;07.01.2021;Nürnberg;"Die GS (Landtagsabgeordnete Bündnis 90/Die Grünen) erstattete im Rahmen einer Prüfbitte Anzeige wegen Beleidigung. In der privaten Facebook-Gruppe ""Gemeinsam für die Heimat"" wurde ein Foto geteilt, das neben der GS, auch die übrigen vier GS zeigte. Überschrift: Das sind die Grünen im bayerischen Landtag...und nein: Das ist KEIN Scherz..."". Der UT kommentierte in der o.g. Facebook Gruppe das Bild mit: ""Silvia Towet war auch mein erster Gedanke"". (Der Nutzer ""Silvia Towet"" kommentierte das Bild zuvor mit ""Pädo Grüne...ekelhaft."")";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
264;05.02.2021;Nürnberg;"GS ist seit kurzem Bundesvorsitzender der ÖDP. Ihm wurde eine Postkarte von UT zugestellt, in welcher er u.a. beleidigt wird und angedroht wird, dass sein Wohnhaus mit Graffiti beschmiert wird. Text: ""Wir freuen uns, dass endlich male ein Bild des Vollidioten (GS) in der Zeitung erschien! Damit kennt nunmehr jeder das Arschgesicht des geistigen Tieffliegers! Zieh Leine du linksradikaler Drecksack! Die Farbdosen sind erworben, dann werden wir in Kürze deine Adresse ein bisschen verschönern"".";0;Rechts;§185 StGB;Beleidigung;Sonstige Partei
265;08.01.2021;Nürnberg;"Die Landtagsabgeordnete der Grünen, Frau G., erstattete im Rahmen einer Prüfbitte an die Generalstaatsanwaltschaft München Anzeige wegen Beleidigung. In der privaten Facebook-Gruppe ""Gemeinsam für die Fleimat"" wurde am 06.01.21 ein Foto geteilt, das neben der GS G., auch die übrigen vier GS zeigt. Das Foto wurde im Januar 2019 im Rahmen einer Pressekonferenz/Tagung von Frau G. und dem Verein ""Deutsche Gesellschaft für Transidentität und Intersexualität (dgti) aufgenommen und auf der Facebookseite des Vereins geteilt. Die vier anderen GS sind Mitglieder dieses Vereins. Seitdem wird das Bild immer wieder auf Facebook geteilt- zumeist mit der Überschrift: Das sind die Grünen im bayerischen Landtag...und nein: Das ist KEIN Scherz..."". Der unbekannte Täter kommentierte in der o.g. Facebookgruppe das Bild mit: ""Die Quotenweiber der Grünen als Vogelscheuche brauchbar, sonst nichts zu gebrauchen.""";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
266;22.02.2021;München;"Ein unbekannter Täter sandte einen Drohbrief, angeblich von der Interessensvertretung ""Freie Bauern"", an das Erste Deutsche Fernsehen. Inhalt des computergeschriebenen Briefs: ""Wir Lassen Uns nichts mehr Gefallen von Aldi von der Politik, Frau S.N. und dem Bauernverband. Wir werden Euch Jagen!!! Und ihr werdet Bezahlen!!! Ihr eure Mitarbeiter und Lakaien und eure Familien!!! So wie wir und unsere Familien Leiden. Dass ist keine Drohung das ist ein Versprechen!!! Wir werden euer Blut für unseren Boden vergießen!!! Deutschland muss sich Abkehren von diesen Ausländischen Schädlingen Deutsche Landwirtschaft allein de Deutschen Volk Dafür Stehen wir die Basisbauernbewegung und die Freien Bauern. Deutscher Bauer Befreie dich von deinen Joch! Deutschland Wehre Dich"".";0;Rechts;§126 StGB;Störung des öffentlichen Friedens;Bündnis 90/Die Grünen
267;07.01.2021;Nürnberg;"Die Landtagsabgeordnete der Grünen, Frau G., erstattete im Rahmen einer Prüfbitte an die Generalstaatsanwaltschaft München Anzeige wegen Beleidigung. In der privaten Facebook-Gruppe ""Gemeinsam für die Heimat"" wurde am 06.01.21 ein Foto geteilt, das neben der GS G., auch die übrigen vier GS zeigt. Das Foto wurde im Januar 2019 im Rahmen einer Pressekonferenz/Tagung von Frau G. und dem Verein ""Deutsche Gesellschaft für Transidentität und Intersexualität (dgti) aufgenommen und auf der Facebookseite des Vereins geteilt. Die vier anderen GS sind Mitglieder dieses Vereins. Seitdem wird das Bild immer wieder auf Facebook geteilt- zumeist mit der Überschrift: Das sind die Grünen im bayerischen Landtag...und nein: Das ist KEIN Scherz..."". Der unbekannte Täter kommentierte in der o.g. Facebookgruppe das Bild mit: ""Anders unterbelichtete Jasager"" ""Söders unterbelichtete Jasager"".";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
268;23.02.2021;Amberg;BES beschimpfte GES mit einer Nachricht über dessen Facebook-Messenger. GES fühlt sich dadurch eingeschüchtert und beleidigt. GES (freier Journalist) erhielt per Facebook-Messenger eine Nachricht von BES mit dessen Klarnamen. Er beleidigte den GES als Speichellecker der CSU sowie als Teil der korrupten Lügenpresse und wirft ihm vor, Mitglied der Piratenpartei zu sein. Laut Angaben des GES sei er tatsächlich bis 2014 Mitglied der Piratenpartei gewesen. BES drohte GES, dass er von nun an auf dem Index stehe und jegliche Informationen (u.a. die Wohnadresse) über ihn veröffentlicht werden. BES tritt als notorischer Beleidiger in den sozialen Netzwerken auf.;1;Nicht zuzuordnen;§185 StGB;Beleidigung;Sonstige Partei, CSU
269;09.03.2021;München;Der TV sendete an das Stimmkreisbüro des Bayerischen Ministerpräsidenten eine E-Mail mit dem Inhalt einer üblen Nachrede zum Nachteil des Bayerischen Ministerpräsidenten. cov#19;1;Nicht zuzuordnen;§188 StGB;Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;CSU
270;15.03.2021;München;An die E-Mailadresse des Büros des Bayerischen Ministerpräsidenten wurde eine E-Mail mit beleidigendem Inhalt zum Nachteil des Ministerpräsidenten gesendet.;1;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU, CSU
271;09.03.2021;Moosburg;UT warfeine brennende Zigarette in den Briefkasten des Bürgerbüros der AFD, sodass dort innenliegende Briefe leicht angekokelt waren. Zudem wurden mehrere DIN A 4 große Schriftstücke ans Schaufenster geklebt auf welchen Sprüche von AFD-Politikern waren. Hier wird noch die Strafbarkeit geprüft. LT ÄM AZ geändert.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;AfD
272;22.02.2021;Altötting;UT versandte am 22.02.2021,19.19 h, ein Email an den Landrat des Lkr. Altötting, in welchem er ihn unter Bezugnahme auf die aktuelle Corona-Problematik und der damit verbundenen Einführung eines digitalen Impfpasses mit den verschiedensten Beleidigungen bedachte. Zudem warnte er den GES, bei Fortführung seiner Bestrebungen auf einer Liste von Prozessen (vgl. Nürnberger Prozessen) ganz oben zu stehen. cov#19;0;Nicht zuzuordnen;§240 StGB;Nötigung;CSU
273;28.02.2021;Prien;"BES hat auf der Geschäfts-Facebook-Seite des GES nachstehenden Kommentar gepostet: ""Leider seit 2015 illegal in Deutschland. Sie müssten seit 2015 das Land verlassen"". Dieser Kommentar ist nach Ansicht des GES falsch und gelogen und zudem geschäftsschädigend, da ihn 3255 Personen gesehen haben. Der BES war 2020 Bürgermeisterkandidat der AfD in Prien.";1;Links;§185 StGB;Beleidigung;AfD
274;21.03.2021;Mauerstetten;"Auf den Feldern von der B12 ersichtlich, wurden mehrere große besprühte Heuballen aufgestellt. Westlich der B12, bei Abschnitt 600, km 8,7, befinden sich Heuballen mit der Aufschrift: ""Volksverrat Söder weg"" Östlich der B12, bei Abschnitt 600, km 6,8, befinden sich Heuballen mit der Aufschrift: ""CSU"", wobei die Buchstaben durchgestrichen wurden. Es konnte zirka 200 Meter nach den CSU Heuballen, auf der westlichen Seite noch ein weiterer Heuballenschriftzug mit ""Merkel raus, habt Mut"" festgestellt werden.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CSU
275;20.01.2021;München;UT verschickte eine E-Mail mit beleidigendem Inhalt und Bezug zur Corona-Pandemie zum Nachteil von Personen des offentl. Lebens und diverser Politiker, beispielshaft u.a. BKin Merkel und Bayer. MP Söder. cov#19 Laut Meldung LKA vom 04.05.2021: AZ hinzugefügt.;0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
276;02.01.2021;Untrasried ;"In einem von BR24 auf Facebook veröffentlichtem Video zur Neujahrsansprache des MP Söder kommentierte ein User: ""Ob Söder oder Merkel oder die ganze CDU und CSU bei Hitler hätten wir die in die gaskammer gesteckt"". Der Sachverhalt wurde über die GenStA, im Rahmen des Projekts ""Jusitz und Medien Konsequent gegen Hass"" mitgeteilt.";1;Rechts;§130 StGB ;Volksverhetzung;CDU, CSU
